timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
0,0.935538408184498,0.433559671781011,1,1,0,0.604545019309949,0.18667164457719,0.548937642522804,0.988693649118266,1,0,0,1,0,0,0,0.930056210395606,0.937920716439981,0.81744466952525,0.5,1,0.5,0.5,0,1,0,0.469961929847903,0.976317352285249,0.899727020484568,0,1,0,0,1,0.879318864022276,0.477057929337133,0.549181428662786,0.0143949044894071,0.976473902286885,0.92693793338564,0.968440480483385,0.972721672099199,1,0,0.958090609186801,0.283842868564908,0.961230079632238,3.66959122769139E-05,0,0,0
1,0.894236331605644,0.434363138965651,1,1,0,0.604545019309949,0.18667164457719,0.546774296387422,0.989363279953118,1,0,0,1,0,0,0,0.933849464200235,0.939142961555452,0.817512760720962,0.5,1,0.5,0.5,0,1,0,0.469961929847903,0.97694097131238,0.901333576938302,0,1,0,0,1,0.879318864022276,0.477057929337133,0.548155016946984,0.0143949044894071,0.976255061484401,0.925526826385855,0.97062269143719,0.972721672099199,1,0,0.958215926022856,0.283842868564908,0.961189326209898,3.66959122769139E-05,0,0,0
2,0.952980810843498,0.43300166265568,1,1,0,0.604545019309949,0.18667164457719,0.544755535885742,0.98923445841496,1,0,0,1,0,0,0,0.931194162839526,0.937730787264909,0.818352986799606,0.5,1,0.5,0.5,0,1,0,0.471214253543063,0.977820617417165,0.901245544879522,0,1,0,0,1,0.879318864022276,0.477057929337133,0.548155016946984,0.0143949044894071,0.976364339596434,0.94208658205981,0.968440480483385,0.973226861369314,1,0,0.959343386543175,0.29694333381584,0.96350113370199,3.66959122769139E-05,0,0,0
3,0.912203671133791,0.434541617735206,1,1,0,0.604545019309949,0.190284805805113,0.543553468554969,0.990161732326127,1,0,0,1,0,0,0,0.930587270667747,0.937948061153803,0.818262104046295,0.5,1,0.5,0.5,0,1,0,0.471214253543063,0.978223681274609,0.901003485336881,0,1,0,0,1,0.879318864022276,0.477057929337133,0.548155016946984,0.0143949044894071,0.976875157854509,0.93535939939243,0.968104685118806,0.972115697333112,1,0,0.959186789373628,0.292576512065529,0.962446354131253,3.66959122769139E-05,0,0,0
4,0.922004435552615,0.433872052271593,1,1,0,0.604545019309949,0.190284805805113,0.541774933989438,0.989157286073849,1,0,0,1,0,0,0,0.935366576142337,0.93922435977334,0.819374864994038,0.5,1,0.5,0.5,0,1,0,0.472465356649826,0.9757312076125,0.901949858587773,0,1,0,0,1,0.879833900678397,0.478745204361646,0.548155016946984,0.0143949044894071,0.97680230577982,0.935453424221151,0.968104685118806,0.972115697333112,1,0,0.958591681028934,0.288209690315219,0.962162598935957,3.66959122769139E-05,0,0,0
5,0.946272110370071,0.434363082107171,1,1,0,0.604545019309949,0.188277146003536,0.538938542666827,0.990110083129081,1,0,0,1,0,0,0,0.93438028749769,0.938572750081186,0.819670078029902,0.5,1,0.5,0.5,0,1,0,0.471214253543063,0.975657689222605,0.90481107221216,0,1,0,0,1,0.879833900678397,0.478745204361646,0.542009336829313,0.0143949044894071,0.97680230577982,0.942180974173018,0.968020769057373,0.972115697333112,1,0,0.958779558531973,0.31877716996475,0.962365606667114,3.66959122769139E-05,0,0,0
6,0.89312780773832,0.434430061396924,1,1,0,0.604545019309949,0.189079583509251,0.536582978276524,0.989337354869775,1,0,0,1,0,0,0,0.93415279179878,0.937866450961389,0.820078851985842,0.5,1,0.5,0.5,0,1,0,0.468084664893558,0.976794220596363,0.906219642390653,0,1,0,0,1,0.879833900678397,0.478408275807609,0.542009336829313,0.0143949044894071,0.975087720818873,0.934371404121888,0.968440480483385,0.972115697333112,1,0,0.959030192204081,0.31877716996475,0.962365606667114,3.66959122769139E-05,0,0,0
7,0.954847597093285,0.433715862026302,1,1,0,0.599998581454647,0.190685711350513,0.535044857177148,0.989646446173498,1,0,0,1,0,0,0,0.933470067727365,0.939115828816156,0.821532238998396,0.5,1,0.5,0.5,0,1,0,0.469649459218311,0.976684086043406,0.906153589727563,0,1,0,0,1,0.879833900678397,0.476721000783096,0.542009336829313,0.0143949044894071,0.977020862003888,0.939828884317051,0.968440480483385,0.972115697333112,1,0,0.959030192204081,0.305676977316461,0.962365606667114,3.66959122769139E-05,0,0,0
8,0.924921095540696,0.4354120642096,1,1,0,0.599998581454647,0.189882647429881,0.532977713934229,0.99031607700835,1,0,0,1,0,0,0,0.934759446995872,0.938518272628069,0.82182745203426,0.5,1,0.5,0.5,0,1,0,0.469649459218311,0.9783707180544,0.906527811834394,0,1,0,0,1,0.876223815616878,0.477057929337133,0.542009336829313,0.0143949044894071,0.976948009929199,0.937946918604687,0.968440480483385,0.973529848752358,1,0,0.959343386543175,0.301310019264829,0.963014117648691,3.66959122769139E-05,0,0,0
9,0.894936308145592,0.436483334836293,1,1,0,0.599998581454647,0.185868580656557,0.530910570691311,0.990213180553534,1,0,0,1,0,0,0,0.492944931822383,0.622800234359036,0.822622265083957,0.5,0,0.5,0.5,0,0,0,0.469649459218311,0.977050819801563,0.908354448435079,0,1,0,0,1,0.876223815616878,0.477733102572371,0.544058962716631,0.0143949044894071,0.978333906818794,0.934465428950609,0.969363753837421,0.972216482829085,1,0,0.960126372390908,0.29694333381584,0.963582134292976,3.66959122769139E-05,0,0,0
